,index,nneg,npos,ntot
724,CHEMBL2370,2,34,36
725,CHEMBL2372,26,40,66
726,CHEMBL2373,25,105,130
727,CHEMBL2378,88,28,116
728,CHEMBL238,683,2043,2726
729,CHEMBL2380186,42,17,59
730,CHEMBL2381,9,14,23
731,CHEMBL2382,3,156,159
732,CHEMBL2383,23,78,101
733,CHEMBL2384,9,99,108
734,CHEMBL2384894,0,15,15
735,CHEMBL2384898,79,12,91
736,CHEMBL2386,107,64,171
737,CHEMBL239,655,1091,1746
738,CHEMBL2390812,1,27,28
739,CHEMBL2391,10,99,109
740,CHEMBL2392,128,19,147
741,CHEMBL2395,13,21,34
742,CHEMBL2397,21,103,124
743,CHEMBL240,3172,3519,6691
744,CHEMBL2406893,2,17,19
745,CHEMBL2407,110,58,168
746,CHEMBL2409,170,1310,1480
747,CHEMBL241,158,182,340
748,CHEMBL2411,41,84,125
749,CHEMBL2413,120,570,690
750,CHEMBL2414,112,269,381
751,CHEMBL2417347,2,22,24
752,CHEMBL2417348,4,20,24
753,CHEMBL2417350,0,44,44
754,CHEMBL242,241,1330,1571
755,CHEMBL2421,8,22,30
756,CHEMBL2424,88,48,136
757,CHEMBL2424500,7,10,17
758,CHEMBL2425,151,555,706
759,CHEMBL2426,86,16,102
760,CHEMBL2428,73,55,128
761,CHEMBL243,424,3692,4116
762,CHEMBL2431,146,421,567
763,CHEMBL2434,57,512,569
764,CHEMBL2439,17,65,82
765,CHEMBL2439944,7,22,29
766,CHEMBL244,993,4599,5592
767,CHEMBL2443,28,14,42
768,CHEMBL2447,6,90,96
769,CHEMBL245,238,1066,1304
770,CHEMBL2452,19,15,34
771,CHEMBL2458,11,10,21
772,CHEMBL2459,1,22,23
773,CHEMBL246,57,405,462
774,CHEMBL2461,5,162,167
775,CHEMBL2468,75,47,122
776,CHEMBL247,721,1550,2271
777,CHEMBL2470,30,216,246
778,CHEMBL2473,16,10,26
779,CHEMBL2474,136,100,236
780,CHEMBL248,434,1265,1699
781,CHEMBL2480,19,64,83
782,CHEMBL2487,42,209,251
783,CHEMBL2488,100,146,246
784,CHEMBL2489,70,178,248
785,CHEMBL249,108,2242,2350
786,CHEMBL2490,7,79,86
